filepath,species,split
data\processed\images_128\cat_01611_pixabay_cat_000979.jpg,cat,train
data\processed\images_128\cat_02443_pixabay_cat_001877.jpg,cat,train
data\processed\images_128\dog_01229_pixabay_dog_000183.jpg,dog,train
data\processed\images_128\cat_02222_pixabay_cat_001644.jpg,cat,train
data\processed\images_128\cat_05474_pixabay_cat_002773.jpg,cat,train
data\processed\images_128\cat_05022_pixabay_cat_004692.jpg,cat,train
data\processed\images_128\cat_03519_pixabay_cat_003051.jpg,cat,train
data\processed\images_128\cat_00441_flickr_cat_000493.jpg,cat,train
data\processed\images_128\cat_05189_flickr_cat_000314.jpg,cat,train
data\processed\images_128\cat_05483_pixabay_cat_002865.jpg,cat,train
data\processed\images_128\dog_03598_pixabay_dog_002806.jpg,dog,train
data\processed\images_128\dog_02791_pixabay_dog_001916.jpg,dog,train
data\processed\images_128\dog_00347_flickr_dog_000384.jpg,dog,train
data\processed\images_128\cat_00414_flickr_cat_000466.jpg,cat,train
data\processed\images_128\cat_00954_pixabay_cat_000249.jpg,cat,train
data\processed\images_128\dog_04405_pixabay_dog_003692.jpg,dog,train
data\processed\images_128\cat_05607_pixabay_cat_004358.jpg,cat,train
data\processed\images_128\dog_03785_pixabay_dog_003011.jpg,dog,train
data\processed\images_128\dog_03045_pixabay_dog_002198.jpg,dog,train
data\processed\images_128\cat_03041_pixabay_cat_002529.jpg,cat,train
data\processed\images_128\dog_02589_pixabay_dog_001699.jpg,dog,train
data\processed\images_128\dog_00785_flickr_dog_000878.jpg,dog,train
data\processed\images_128\dog_05165_pixabay_dog_003293.jpg,dog,train
data\processed\images_128\cat_03410_pixabay_cat_002931.jpg,cat,train
data\processed\images_128\cat_04170_pixabay_cat_003760.jpg,cat,train
data\processed\images_128\dog_04348_pixabay_dog_003630.jpg,dog,train
data\processed\images_128\dog_03263_pixabay_dog_002437.jpg,dog,train
data\processed\images_128\cat_00057_flickr_cat_000063.jpg,cat,train
data\processed\images_128\cat_05225_flickr_cat_000637.jpg,cat,train
data\processed\images_128\dog_04092_pixabay_dog_003344.jpg,dog,train
data\processed\images_128\cat_04156_pixabay_cat_003741.jpg,cat,train
data\processed\images_128\cat_05137_pixabay_cat_004817.jpg,cat,train
data\processed\images_128\dog_01304_pixabay_dog_000267.jpg,dog,train
data\processed\images_128\dog_02752_pixabay_dog_001872.jpg,dog,train
data\processed\images_128\cat_04951_pixabay_cat_004612.jpg,cat,train
data\processed\images_128\cat_05065_pixabay_cat_004736.jpg,cat,train
data\processed\images_128\cat_00279_flickr_cat_000318.jpg,cat,train
data\processed\images_128\dog_02555_pixabay_dog_001663.jpg,dog,train
data\processed\images_128\dog_03678_pixabay_dog_002893.jpg,dog,train
data\processed\images_128\dog_04173_pixabay_dog_003437.jpg,dog,train
data\processed\images_128\cat_02944_pixabay_cat_002422.jpg,cat,train
data\processed\images_128\dog_01544_pixabay_dog_000548.jpg,dog,train
data\processed\images_128\cat_04731_pixabay_cat_004368.jpg,cat,train
data\processed\images_128\cat_02102_pixabay_cat_001516.jpg,cat,train
data\processed\images_128\cat_03795_pixabay_cat_003344.jpg,cat,train
data\processed\images_128\dog_01276_pixabay_dog_000235.jpg,dog,train
data\processed\images_128\cat_05371_pixabay_cat_001365.jpg,cat,train
data\processed\images_128\cat_04891_pixabay_cat_004544.jpg,cat,train
data\processed\images_128\cat_00686_flickr_cat_000774.jpg,cat,train
data\processed\images_128\cat_01937_pixabay_cat_001334.jpg,cat,train
data\processed\images_128\cat_03106_pixabay_cat_002598.jpg,cat,train
data\processed\images_128\cat_03133_pixabay_cat_002625.jpg,cat,train
data\processed\images_128\cat_02470_pixabay_cat_001905.jpg,cat,train
data\processed\images_128\cat_04821_pixabay_cat_004465.jpg,cat,train
data\processed\images_128\dog_03025_pixabay_dog_002177.jpg,dog,train
data\processed\images_128\cat_03230_pixabay_cat_002732.jpg,cat,train
data\processed\images_128\cat_03264_pixabay_cat_002767.jpg,cat,train
data\processed\images_128\dog_03179_pixabay_dog_002346.jpg,dog,train
data\processed\images_128\cat_02117_pixabay_cat_001531.jpg,cat,train
data\processed\images_128\dog_01048_flickr_dog_001167.jpg,dog,train
data\processed\images_128\cat_03454_pixabay_cat_002976.jpg,cat,train
data\processed\images_128\cat_02163_pixabay_cat_001579.jpg,cat,train
data\processed\images_128\dog_04316_pixabay_dog_003598.jpg,dog,train
data\processed\images_128\dog_02266_pixabay_dog_001343.jpg,dog,train
data\processed\images_128\cat_00584_flickr_cat_000661.jpg,cat,train
data\processed\images_128\dog_04532_pixabay_dog_003832.jpg,dog,train
data\processed\images_128\cat_00411_flickr_cat_000463.jpg,cat,train
data\processed\images_128\dog_02751_pixabay_dog_001871.jpg,dog,train
data\processed\images_128\dog_01831_pixabay_dog_000868.jpg,dog,train
data\processed\images_128\dog_02654_pixabay_dog_001767.jpg,dog,train
data\processed\images_128\dog_02119_pixabay_dog_001183.jpg,dog,train
data\processed\images_128\dog_01737_pixabay_dog_000762.jpg,dog,train
data\processed\images_128\cat_04338_pixabay_cat_003944.jpg,cat,train
data\processed\images_128\dog_04574_pixabay_dog_003875.jpg,dog,train
data\processed\images_128\dog_03488_pixabay_dog_002683.jpg,dog,train
data\processed\images_128\cat_00251_flickr_cat_000286.jpg,cat,train
data\processed\images_128\cat_02800_pixabay_cat_002266.jpg,cat,train
data\processed\images_128\cat_05608_pixabay_cat_004373.jpg,cat,train
data\processed\images_128\cat_02337_pixabay_cat_001768.jpg,cat,train
data\processed\images_128\dog_02067_pixabay_dog_001127.jpg,dog,train
data\processed\images_128\dog_03428_pixabay_dog_002618.jpg,dog,train
data\processed\images_128\dog_04384_pixabay_dog_003670.jpg,dog,train
data\processed\images_128\dog_04459_pixabay_dog_003755.jpg,dog,train
data\processed\images_128\cat_00901_pixabay_cat_000192.jpg,cat,train
data\processed\images_128\dog_03933_pixabay_dog_003169.jpg,dog,train
data\processed\images_128\dog_00640_flickr_dog_000711.jpg,dog,train
data\processed\images_128\cat_02758_pixabay_cat_002221.jpg,cat,train
data\processed\images_128\cat_03630_pixabay_cat_003168.jpg,cat,train
data\processed\images_128\dog_01892_pixabay_dog_000933.jpg,dog,train
data\processed\images_128\cat_02598_pixabay_cat_002043.jpg,cat,train
data\processed\images_128\dog_01507_pixabay_dog_000509.jpg,dog,train
data\processed\images_128\cat_05062_pixabay_cat_004733.jpg,cat,train
data\processed\images_128\cat_04882_pixabay_cat_004533.jpg,cat,train
data\processed\images_128\dog_00037_flickr_dog_000039.jpg,dog,train
data\processed\images_128\cat_02805_pixabay_cat_002273.jpg,cat,train
data\processed\images_128\dog_01109_pixabay_dog_000053.jpg,dog,train
data\processed\images_128\dog_01500_pixabay_dog_000497.jpg,dog,train
data\processed\images_128\cat_03850_pixabay_cat_003405.jpg,cat,train
data\processed\images_128\cat_03981_pixabay_cat_003549.jpg,cat,train
data\processed\images_128\dog_03446_pixabay_dog_002637.jpg,dog,train
data\processed\images_128\cat_02832_pixabay_cat_002301.jpg,cat,train
data\processed\images_128\cat_03644_pixabay_cat_003182.jpg,cat,train
data\processed\images_128\dog_01975_pixabay_dog_001022.jpg,dog,train
data\processed\images_128\cat_03107_pixabay_cat_002599.jpg,cat,train
data\processed\images_128\dog_04034_pixabay_dog_003280.jpg,dog,train
data\processed\images_128\dog_00414_flickr_dog_000453.jpg,dog,train
data\processed\images_128\cat_01516_pixabay_cat_000877.jpg,cat,train
data\processed\images_128\cat_01448_pixabay_cat_000796.jpg,cat,train
data\processed\images_128\cat_01420_pixabay_cat_000767.jpg,cat,train
data\processed\images_128\dog_05066_pixabay_dog_002151.jpg,dog,train
data\processed\images_128\cat_01466_pixabay_cat_000817.jpg,cat,train
data\processed\images_128\dog_01010_flickr_dog_001129.jpg,dog,train
data\processed\images_128\dog_02487_pixabay_dog_001591.jpg,dog,train
data\processed\images_128\cat_00286_flickr_cat_000326.jpg,cat,train
data\processed\images_128\dog_04347_pixabay_dog_003629.jpg,dog,train
data\processed\images_128\dog_00092_flickr_dog_000101.jpg,dog,train
data\processed\images_128\dog_00903_flickr_dog_001006.jpg,dog,train
data\processed\images_128\cat_02399_pixabay_cat_001832.jpg,cat,train
data\processed\images_128\dog_02949_pixabay_dog_002090.jpg,dog,train
data\processed\images_128\cat_04455_pixabay_cat_004070.jpg,cat,train
data\processed\images_128\dog_05059_pixabay_dog_002070.jpg,dog,train
data\processed\images_128\cat_01233_pixabay_cat_000558.jpg,cat,train
data\processed\images_128\cat_00078_flickr_cat_000086.jpg,cat,train
data\processed\images_128\dog_00478_flickr_dog_000524.jpg,dog,train
data\processed\images_128\cat_01239_pixabay_cat_000564.jpg,cat,train
data\processed\images_128\cat_04769_pixabay_cat_004408.jpg,cat,train
data\processed\images_128\cat_03638_pixabay_cat_003176.jpg,cat,train
data\processed\images_128\dog_03147_pixabay_dog_002310.jpg,dog,train
data\processed\images_128\dog_02876_pixabay_dog_002010.jpg,dog,train
data\processed\images_128\cat_00105_flickr_cat_000115.jpg,cat,train
data\processed\images_128\dog_02053_pixabay_dog_001112.jpg,dog,train
data\processed\images_128\cat_03381_pixabay_cat_002898.jpg,cat,train
data\processed\images_128\cat_04469_pixabay_cat_004084.jpg,cat,train
data\processed\images_128\cat_00258_flickr_cat_000295.jpg,cat,train
data\processed\images_128\cat_03917_pixabay_cat_003479.jpg,cat,train
data\processed\images_128\cat_02957_pixabay_cat_002436.jpg,cat,train
data\processed\images_128\cat_05071_pixabay_cat_004742.jpg,cat,train
data\processed\images_128\cat_03500_pixabay_cat_003028.jpg,cat,train
data\processed\images_128\dog_04616_pixabay_dog_003920.jpg,dog,train
data\processed\images_128\cat_03167_pixabay_cat_002663.jpg,cat,train
data\processed\images_128\cat_05312_pixabay_cat_000735.jpg,cat,train
data\processed\images_128\dog_00139_flickr_dog_000152.jpg,dog,train
data\processed\images_128\dog_05122_pixabay_dog_002785.jpg,dog,train
data\processed\images_128\cat_03603_pixabay_cat_003139.jpg,cat,train
data\processed\images_128\cat_02140_pixabay_cat_001555.jpg,cat,train
data\processed\images_128\dog_03457_pixabay_dog_002649.jpg,dog,train
data\processed\images_128\cat_03686_pixabay_cat_003232.jpg,cat,train
data\processed\images_128\dog_02640_pixabay_dog_001753.jpg,dog,train
data\processed\images_128\cat_02573_pixabay_cat_002017.jpg,cat,train
data\processed\images_128\dog_01591_pixabay_dog_000601.jpg,dog,train
data\processed\images_128\dog_01319_pixabay_dog_000285.jpg,dog,train
data\processed\images_128\cat_03418_pixabay_cat_002939.jpg,cat,train
data\processed\images_128\cat_03555_pixabay_cat_003088.jpg,cat,train
data\processed\images_128\dog_01846_pixabay_dog_000884.jpg,dog,train
data\processed\images_128\dog_02510_pixabay_dog_001615.jpg,dog,train
data\processed\images_128\dog_00157_flickr_dog_000172.jpg,dog,train
data\processed\images_128\dog_03795_pixabay_dog_003021.jpg,dog,train
data\processed\images_128\cat_04459_pixabay_cat_004074.jpg,cat,train
data\processed\images_128\dog_01757_pixabay_dog_000784.jpg,dog,train
data\processed\images_128\cat_00911_pixabay_cat_000203.jpg,cat,train
data\processed\images_128\cat_00789_pixabay_cat_000065.jpg,cat,train
data\processed\images_128\dog_01643_pixabay_dog_000660.jpg,dog,train
data\processed\images_128\dog_02171_pixabay_dog_001245.jpg,dog,train
data\processed\images_128\cat_01455_pixabay_cat_000805.jpg,cat,train
data\processed\images_128\dog_04328_pixabay_dog_003610.jpg,dog,train
data\processed\images_128\cat_02119_pixabay_cat_001533.jpg,cat,train
data\processed\images_128\dog_03585_pixabay_dog_002790.jpg,dog,train
data\processed\images_128\cat_01627_pixabay_cat_000999.jpg,cat,train
data\processed\images_128\cat_04164_pixabay_cat_003752.jpg,cat,train
data\processed\images_128\dog_04749_flickr_dog_000141.jpg,dog,train
data\processed\images_128\cat_05436_pixabay_cat_002256.jpg,cat,train
data\processed\images_128\dog_01117_pixabay_dog_000062.jpg,dog,train
data\processed\images_128\dog_03046_pixabay_dog_002200.jpg,dog,train
data\processed\images_128\cat_00891_pixabay_cat_000180.jpg,cat,train
data\processed\images_128\cat_00992_pixabay_cat_000288.jpg,cat,train
data\processed\images_128\cat_04888_pixabay_cat_004539.jpg,cat,train
data\processed\images_128\cat_02694_pixabay_cat_002150.jpg,cat,train
data\processed\images_128\dog_04271_pixabay_dog_003550.jpg,dog,train
data\processed\images_128\dog_00829_flickr_dog_000924.jpg,dog,train
data\processed\images_128\cat_00669_flickr_cat_000753.jpg,cat,train
data\processed\images_128\dog_03899_pixabay_dog_003132.jpg,dog,train
data\processed\images_128\dog_02040_pixabay_dog_001099.jpg,dog,train
data\processed\images_128\dog_00268_flickr_dog_000297.jpg,dog,train
data\processed\images_128\dog_04789_flickr_dog_000572.jpg,dog,train
data\processed\images_128\dog_01595_pixabay_dog_000605.jpg,dog,train
data\processed\images_128\cat_05413_pixabay_cat_001997.jpg,cat,train
data\processed\images_128\dog_00130_flickr_dog_000143.jpg,dog,train
data\processed\images_128\dog_03165_pixabay_dog_002332.jpg,dog,train
data\processed\images_128\cat_02903_pixabay_cat_002378.jpg,cat,train
data\processed\images_128\dog_01060_flickr_dog_001181.jpg,dog,train
data\processed\images_128\cat_01859_pixabay_cat_001250.jpg,cat,train
data\processed\images_128\cat_01307_pixabay_cat_000640.jpg,cat,train
data\processed\images_128\cat_03610_pixabay_cat_003146.jpg,cat,train
data\processed\images_128\cat_01667_pixabay_cat_001043.jpg,cat,train
data\processed\images_128\dog_02445_pixabay_dog_001543.jpg,dog,train
data\processed\images_128\cat_00305_flickr_cat_000346.jpg,cat,train
data\processed\images_128\cat_02150_pixabay_cat_001566.jpg,cat,train
data\processed\images_128\dog_02165_pixabay_dog_001238.jpg,dog,train
data\processed\images_128\cat_03989_pixabay_cat_003558.jpg,cat,train
data\processed\images_128\dog_05071_pixabay_dog_002196.jpg,dog,train
data\processed\images_128\cat_05345_pixabay_cat_001029.jpg,cat,train
data\processed\images_128\dog_01869_pixabay_dog_000908.jpg,dog,train
data\processed\images_128\cat_02193_pixabay_cat_001611.jpg,cat,train
data\processed\images_128\cat_01410_pixabay_cat_000754.jpg,cat,train
data\processed\images_128\cat_03844_pixabay_cat_003399.jpg,cat,train
data\processed\images_128\dog_01557_pixabay_dog_000562.jpg,dog,train
data\processed\images_128\cat_04879_pixabay_cat_004530.jpg,cat,train
data\processed\images_128\dog_02563_pixabay_dog_001671.jpg,dog,train
data\processed\images_128\cat_03682_pixabay_cat_003228.jpg,cat,train
data\processed\images_128\dog_03127_pixabay_dog_002287.jpg,dog,train
data\processed\images_128\cat_00810_pixabay_cat_000089.jpg,cat,train
data\processed\images_128\cat_00732_pixabay_cat_000003.jpg,cat,train
data\processed\images_128\cat_00604_flickr_cat_000682.jpg,cat,train
data\processed\images_128\dog_02662_pixabay_dog_001775.jpg,dog,train
data\processed\images_128\dog_00252_flickr_dog_000281.jpg,dog,train
data\processed\images_128\cat_03994_pixabay_cat_003564.jpg,cat,train
data\processed\images_128\dog_04415_pixabay_dog_003702.jpg,dog,train
data\processed\images_128\dog_03671_pixabay_dog_002886.jpg,dog,train
data\processed\images_128\cat_05016_pixabay_cat_004686.jpg,cat,train
data\processed\images_128\cat_03516_pixabay_cat_003047.jpg,cat,train
data\processed\images_128\dog_03329_pixabay_dog_002507.jpg,dog,train
data\processed\images_128\cat_04814_pixabay_cat_004457.jpg,cat,train
data\processed\images_128\cat_01798_pixabay_cat_001185.jpg,cat,train
data\processed\images_128\cat_03253_pixabay_cat_002756.jpg,cat,train
data\processed\images_128\cat_02237_pixabay_cat_001660.jpg,cat,train
data\processed\images_128\cat_04862_pixabay_cat_004511.jpg,cat,train
data\processed\images_128\dog_04475_pixabay_dog_003773.jpg,dog,train
data\processed\images_128\dog_03510_pixabay_dog_002707.jpg,dog,train
data\processed\images_128\cat_04636_pixabay_cat_004266.jpg,cat,train
data\processed\images_128\dog_02193_pixabay_dog_001267.jpg,dog,train
data\processed\images_128\cat_04472_pixabay_cat_004087.jpg,cat,train
data\processed\images_128\dog_04432_pixabay_dog_003723.jpg,dog,train
data\processed\images_128\cat_00910_pixabay_cat_000201.jpg,cat,train
data\processed\images_128\cat_01218_pixabay_cat_000543.jpg,cat,train
data\processed\images_128\cat_05093_pixabay_cat_004767.jpg,cat,train
data\processed\images_128\cat_01562_pixabay_cat_000927.jpg,cat,train
data\processed\images_128\cat_00675_flickr_cat_000760.jpg,cat,train
data\processed\images_128\cat_02298_pixabay_cat_001728.jpg,cat,train
data\processed\images_128\cat_00884_pixabay_cat_000172.jpg,cat,train
data\processed\images_128\cat_03860_pixabay_cat_003416.jpg,cat,train
data\processed\images_128\cat_05118_pixabay_cat_004796.jpg,cat,train
data\processed\images_128\cat_05590_pixabay_cat_004166.jpg,cat,train
data\processed\images_128\cat_05213_flickr_cat_000560.jpg,cat,train
data\processed\images_128\dog_00570_flickr_dog_000631.jpg,dog,train
data\processed\images_128\dog_02573_pixabay_dog_001681.jpg,dog,train
data\processed\images_128\cat_03147_pixabay_cat_002639.jpg,cat,train
data\processed\images_128\dog_05040_pixabay_dog_001898.jpg,dog,train
data\processed\images_128\dog_04139_pixabay_dog_003400.jpg,dog,train
data\processed\images_128\dog_02457_pixabay_dog_001555.jpg,dog,train
data\processed\images_128\cat_05101_pixabay_cat_004775.jpg,cat,train
data\processed\images_128\cat_00764_pixabay_cat_000038.jpg,cat,train
data\processed\images_128\cat_04603_pixabay_cat_004230.jpg,cat,train
data\processed\images_128\cat_05105_pixabay_cat_004779.jpg,cat,train
data\processed\images_128\cat_03605_pixabay_cat_003141.jpg,cat,train
data\processed\images_128\dog_00541_flickr_dog_000597.jpg,dog,train
data\processed\images_128\cat_02134_pixabay_cat_001549.jpg,cat,train
data\processed\images_128\cat_04180_pixabay_cat_003770.jpg,cat,train
data\processed\images_128\cat_04878_pixabay_cat_004529.jpg,cat,train
data\processed\images_128\dog_01560_pixabay_dog_000566.jpg,dog,train
data\processed\images_128\cat_01785_pixabay_cat_001171.jpg,cat,train
data\processed\images_128\cat_04155_pixabay_cat_003740.jpg,cat,train
data\processed\images_128\cat_00060_flickr_cat_000066.jpg,cat,train
data\processed\images_128\dog_05023_pixabay_dog_001609.jpg,dog,train
data\processed\images_128\cat_01600_pixabay_cat_000967.jpg,cat,train
data\processed\images_128\cat_02556_pixabay_cat_001999.jpg,cat,train
data\processed\images_128\cat_00708_flickr_cat_000796.jpg,cat,train
data\processed\images_128\dog_04436_pixabay_dog_003729.jpg,dog,train
data\processed\images_128\cat_01438_pixabay_cat_000785.jpg,cat,train
data\processed\images_128\cat_05171_flickr_cat_000182.jpg,cat,train
data\processed\images_128\cat_03517_pixabay_cat_003049.jpg,cat,train
data\processed\images_128\dog_01920_pixabay_dog_000964.jpg,dog,train
data\processed\images_128\dog_03099_pixabay_dog_002258.jpg,dog,train
data\processed\images_128\cat_04926_pixabay_cat_004581.jpg,cat,train
data\processed\images_128\dog_05068_pixabay_dog_002157.jpg,dog,train
data\processed\images_128\cat_02093_pixabay_cat_001507.jpg,cat,train
data\processed\images_128\cat_00465_flickr_cat_000519.jpg,cat,train
data\processed\images_128\cat_02233_pixabay_cat_001656.jpg,cat,train
data\processed\images_128\dog_01845_pixabay_dog_000883.jpg,dog,train
data\processed\images_128\dog_00727_flickr_dog_000810.jpg,dog,train
data\processed\images_128\dog_00841_flickr_dog_000937.jpg,dog,train
data\processed\images_128\cat_02735_pixabay_cat_002194.jpg,cat,train
data\processed\images_128\cat_05056_pixabay_cat_004727.jpg,cat,train
data\processed\images_128\dog_04372_pixabay_dog_003655.jpg,dog,train
data\processed\images_128\dog_02989_pixabay_dog_002134.jpg,dog,train
data\processed\images_128\cat_00148_flickr_cat_000161.jpg,cat,train
data\processed\images_128\dog_03040_pixabay_dog_002192.jpg,dog,train
data\processed\images_128\dog_03754_pixabay_dog_002977.jpg,dog,train
data\processed\images_128\dog_01821_pixabay_dog_000858.jpg,dog,train
data\processed\images_128\cat_05508_pixabay_cat_003165.jpg,cat,train
data\processed\images_128\dog_00239_flickr_dog_000268.jpg,dog,train
data\processed\images_128\cat_03672_pixabay_cat_003217.jpg,cat,train
data\processed\images_128\dog_03763_pixabay_dog_002987.jpg,dog,train
data\processed\images_128\cat_03325_pixabay_cat_002834.jpg,cat,train
data\processed\images_128\dog_05096_pixabay_dog_002492.jpg,dog,train
data\processed\images_128\dog_02085_pixabay_dog_001146.jpg,dog,train
data\processed\images_128\cat_02816_pixabay_cat_002284.jpg,cat,train
data\processed\images_128\dog_02804_pixabay_dog_001933.jpg,dog,train
data\processed\images_128\cat_04061_pixabay_cat_003638.jpg,cat,train
data\processed\images_128\cat_04724_pixabay_cat_004361.jpg,cat,train
data\processed\images_128\cat_00223_flickr_cat_000256.jpg,cat,train
data\processed\images_128\dog_02490_pixabay_dog_001594.jpg,dog,train
data\processed\images_128\cat_05490_pixabay_cat_002927.jpg,cat,train
data\processed\images_128\cat_01514_pixabay_cat_000874.jpg,cat,train
data\processed\images_128\dog_02581_pixabay_dog_001691.jpg,dog,train
data\processed\images_128\dog_01135_pixabay_dog_000080.jpg,dog,train
data\processed\images_128\dog_04217_pixabay_dog_003487.jpg,dog,train
data\processed\images_128\cat_04661_pixabay_cat_004291.jpg,cat,train
data\processed\images_128\cat_01540_pixabay_cat_000905.jpg,cat,train
data\processed\images_128\dog_03359_pixabay_dog_002540.jpg,dog,train
data\processed\images_128\dog_00103_flickr_dog_000114.jpg,dog,train
data\processed\images_128\dog_01449_pixabay_dog_000433.jpg,dog,train
data\processed\images_128\dog_04170_pixabay_dog_003434.jpg,dog,train
data\processed\images_128\cat_04287_pixabay_cat_003886.jpg,cat,train
data\processed\images_128\cat_00936_pixabay_cat_000228.jpg,cat,train
data\processed\images_128\cat_01673_pixabay_cat_001049.jpg,cat,train
data\processed\images_128\cat_05026_pixabay_cat_004697.jpg,cat,train
data\processed\images_128\cat_03441_pixabay_cat_002962.jpg,cat,train
data\processed\images_128\cat_03358_pixabay_cat_002872.jpg,cat,train
data\processed\images_128\cat_03506_pixabay_cat_003035.jpg,cat,train
data\processed\images_128\cat_04808_pixabay_cat_004451.jpg,cat,train
data\processed\images_128\dog_03798_pixabay_dog_003024.jpg,dog,train
data\processed\images_128\cat_01279_pixabay_cat_000607.jpg,cat,train
data\processed\images_128\dog_03235_pixabay_dog_002407.jpg,dog,train
data\processed\images_128\cat_04758_pixabay_cat_004397.jpg,cat,train
data\processed\images_128\cat_00658_flickr_cat_000739.jpg,cat,train
data\processed\images_128\dog_03175_pixabay_dog_002342.jpg,dog,train
data\processed\images_128\dog_05187_pixabay_dog_003478.jpg,dog,train
data\processed\images_128\dog_01601_pixabay_dog_000613.jpg,dog,train
data\processed\images_128\dog_04442_pixabay_dog_003735.jpg,dog,train
data\processed\images_128\cat_01982_pixabay_cat_001386.jpg,cat,train
data\processed\images_128\dog_01162_pixabay_dog_000109.jpg,dog,train
data\processed\images_128\cat_05188_flickr_cat_000311.jpg,cat,train
data\processed\images_128\cat_03664_pixabay_cat_003206.jpg,cat,train
data\processed\images_128\dog_04527_pixabay_dog_003827.jpg,dog,train
data\processed\images_128\dog_04030_pixabay_dog_003276.jpg,dog,train
data\processed\images_128\cat_03342_pixabay_cat_002852.jpg,cat,train
data\processed\images_128\cat_05361_pixabay_cat_001212.jpg,cat,train
data\processed\images_128\dog_02130_pixabay_dog_001197.jpg,dog,train
data\processed\images_128\cat_03460_pixabay_cat_002982.jpg,cat,train
data\processed\images_128\cat_04211_pixabay_cat_003803.jpg,cat,train
data\processed\images_128\dog_04925_pixabay_dog_000569.jpg,dog,train
data\processed\images_128\cat_04970_pixabay_cat_004633.jpg,cat,train
data\processed\images_128\cat_00295_flickr_cat_000335.jpg,cat,train
data\processed\images_128\dog_01460_pixabay_dog_000445.jpg,dog,train
data\processed\images_128\dog_01555_pixabay_dog_000560.jpg,dog,train
data\processed\images_128\cat_04074_pixabay_cat_003651.jpg,cat,train
data\processed\images_128\cat_00210_flickr_cat_000242.jpg,cat,train
data\processed\images_128\cat_00332_flickr_cat_000378.jpg,cat,train
data\processed\images_128\dog_04363_pixabay_dog_003646.jpg,dog,train
data\processed\images_128\dog_00820_flickr_dog_000914.jpg,dog,train
data\processed\images_128\dog_02515_pixabay_dog_001620.jpg,dog,train
data\processed\images_128\cat_01629_pixabay_cat_001001.jpg,cat,train
data\processed\images_128\dog_04507_pixabay_dog_003807.jpg,dog,train
data\processed\images_128\dog_04988_pixabay_dog_001211.jpg,dog,train
data\processed\images_128\dog_04934_pixabay_dog_000646.jpg,dog,train
data\processed\images_128\cat_01678_pixabay_cat_001054.jpg,cat,train
data\processed\images_128\cat_03604_pixabay_cat_003140.jpg,cat,train
data\processed\images_128\cat_03169_pixabay_cat_002665.jpg,cat,train
data\processed\images_128\cat_02471_pixabay_cat_001906.jpg,cat,train
data\processed\images_128\dog_02921_pixabay_dog_002060.jpg,dog,train
data\processed\images_128\cat_02981_pixabay_cat_002465.jpg,cat,train
data\processed\images_128\dog_00527_flickr_dog_000582.jpg,dog,train
data\processed\images_128\dog_03218_pixabay_dog_002388.jpg,dog,train
data\processed\images_128\dog_01632_pixabay_dog_000649.jpg,dog,train
data\processed\images_128\dog_01171_pixabay_dog_000119.jpg,dog,train
data\processed\images_128\dog_04996_pixabay_dog_001350.jpg,dog,train
data\processed\images_128\cat_02149_pixabay_cat_001565.jpg,cat,train
data\processed\images_128\dog_03683_pixabay_dog_002901.jpg,dog,train
data\processed\images_128\cat_00199_flickr_cat_000225.jpg,cat,train
data\processed\images_128\dog_04638_pixabay_dog_003947.jpg,dog,train
data\processed\images_128\dog_01361_pixabay_dog_000335.jpg,dog,train
data\processed\images_128\dog_01726_pixabay_dog_000751.jpg,dog,train
data\processed\images_128\dog_05064_pixabay_dog_002144.jpg,dog,train
data\processed\images_128\dog_04773_flickr_dog_000382.jpg,dog,train
data\processed\images_128\dog_05206_pixabay_dog_003703.jpg,dog,train
data\processed\images_128\dog_01952_pixabay_dog_000998.jpg,dog,train
data\processed\images_128\dog_02737_pixabay_dog_001856.jpg,dog,train
data\processed\images_128\cat_02449_pixabay_cat_001883.jpg,cat,train
data\processed\images_128\dog_01998_pixabay_dog_001049.jpg,dog,train
data\processed\images_128\dog_04481_pixabay_dog_003781.jpg,dog,train
data\processed\images_128\cat_00306_flickr_cat_000347.jpg,cat,train
data\processed\images_128\cat_02411_pixabay_cat_001844.jpg,cat,train
data\processed\images_128\dog_03057_pixabay_dog_002211.jpg,dog,train
data\processed\images_128\cat_03842_pixabay_cat_003397.jpg,cat,train
data\processed\images_128\cat_04648_pixabay_cat_004278.jpg,cat,train
data\processed\images_128\dog_02293_pixabay_dog_001378.jpg,dog,train
data\processed\images_128\cat_03544_pixabay_cat_003076.jpg,cat,train
data\processed\images_128\dog_00387_flickr_dog_000424.jpg,dog,train
data\processed\images_128\dog_03156_pixabay_dog_002321.jpg,dog,train
data\processed\images_128\cat_00015_flickr_cat_000020.jpg,cat,train
data\processed\images_128\dog_01335_pixabay_dog_000303.jpg,dog,train
data\processed\images_128\dog_02805_pixabay_dog_001934.jpg,dog,train
data\processed\images_128\cat_03369_pixabay_cat_002885.jpg,cat,train
data\processed\images_128\cat_05122_pixabay_cat_004800.jpg,cat,train
data\processed\images_128\cat_01215_pixabay_cat_000538.jpg,cat,train
data\processed\images_128\dog_03114_pixabay_dog_002273.jpg,dog,train
data\processed\images_128\cat_01249_pixabay_cat_000575.jpg,cat,train
data\processed\images_128\cat_03534_pixabay_cat_003066.jpg,cat,train
data\processed\images_128\cat_00599_flickr_cat_000677.jpg,cat,train
data\processed\images_128\dog_01339_pixabay_dog_000308.jpg,dog,train
data\processed\images_128\cat_03796_pixabay_cat_003345.jpg,cat,train
